"entrez","symbol","ensembl","gene_type","baseMean","l2fc_raw","l2fc_shrunk","lfcSE","pvalue","padj","direction"
"3685","ITGAV","ENSG00000138448","protein-coding",7162.34939049572,1.77839419856756,1.68936996832646,0.317402154370738,2.10711814128512e-08,1.28808226466362e-06,"up"
"440173","LINC02893","ENSG00000269994","ncRNA",405.688433450178,2.07662837911808,1.95834312661028,0.371035066168614,2.18278798314915e-08,1.32247847939063e-06,"up"
"140469","MYO3B","ENSG00000071909","protein-coding",57.9637572083944,2.90661641963596,2.72802359854242,0.52258759212353,2.66746419596013e-08,1.59137295051766e-06,"up"
"3556","IL1RAP","ENSG00000196083","protein-coding",278.051874131453,1.92586435552981,1.81746221177622,0.347275342939538,2.9287932296614e-08,1.72463539122005e-06,"up"
"54716","SLC6A20","ENSG00000163817","protein-coding",101.183205883028,3.42600024383758,3.20123014158872,0.61974729088729,3.23791217645193e-08,1.8862914012561e-06,"up"
"724033","MIR663A","ENSG00000284419","ncRNA",134.068017090226,-3.79400331580858,-3.54034474457924,0.689708888600721,3.77908168910123e-08,2.1691133299296e-06,"down"
"100132288","TEKT4P2","ENSG00000291050","pseudo",44.3764244754825,5.23856483609479,4.88453341028607,0.965794152272687,5.82470064048856e-08,3.21466879073441e-06,"up"
"445347","TARP","ENSG00000289746","protein-coding",66.6219065779375,4.93734498227588,4.59934412105756,0.913923286403294,6.57688316976427e-08,3.58624285480906e-06,"up"
"3106","HLA-B","ENSG00000234745","protein-coding",1326.18206292958,3.88203938910472,3.60529143087029,0.720673950704553,7.17713635702732e-08,3.88248900075383e-06,"up"
"10333","TLR6","ENSG00000174130","protein-coding",79.0955841306135,2.49528396931682,2.33237221558334,0.463320498071959,7.2181635618177e-08,3.89695071979005e-06,"up"
"5698","PSMB9","ENSG00000240065","protein-coding",59.1661450302568,5.18294529546238,4.80873772388986,0.963521248163075,7.48297201555807e-08,4.02397927085158e-06,"up"
"5613","PRKX","ENSG00000183943","protein-coding",2469.42444610764,-1.50858006876047,-1.42448480177296,0.283690641606096,1.05090517032205e-07,5.52059317218889e-06,"down"
"101928752","LINC01043","ENSG00000260343","ncRNA",256.953909118531,-4.65960383998211,-4.31546679316439,0.882122306551755,1.27596408640007e-07,6.56375185879462e-06,"down"
