"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0021953","central nervous system neuron differentiation","12/343","116/15777",0.103448275862069,4.75831909118327,6.05646428836789,8.34228303453054e-06,0.0180126369636959,0.0180126369636959,"LHX5/SPTBN4/SPOCK1/NTRK2/NEUROD1/BRINP2/DLL4/CEND1/NDNF/WNT1/KNDC1/EOMES",12
"GO:0008593","regulation of Notch signaling pathway","10/343","84/15777",0.119047619047619,5.47584339858392,6.13151506268491,1.37134655224179e-05,0.0180126369636959,0.0180126369636959,"MIR212/DLL1/TSPEAR/HES5/DLL4/LLGL2/NEURL1/WNT1/DLL3/MFNG",10
