"entrez","symbol","ensembl","gene_type","baseMean","l2fc_raw","l2fc_shrunk","lfcSE","pvalue","padj"
"89122","TRIM4","ENSG00000146833","protein-coding",141.997594834284,-8.86927870670443,-8.7115887061197,0.842519472927603,6.48066852593846e-26,2.94481577818644e-23
"2000","ELF4","ENSG00000102034","protein-coding",832.139895531552,5.01062074952486,4.92370859009904,0.476947566083699,8.14027570038171e-26,3.63830289664274e-23
"1240","CMKLR1","ENSG00000174600","protein-coding",1139.00923415934,7.80690709941197,7.6709865122778,0.744654738252189,1.02399664673208e-25,4.5029426736296e-23
"9645","MICAL2","ENSG00000133816","protein-coding",2302.64903859672,6.09928661057779,5.99282591090845,0.582427417644482,1.15937798234898e-25,5.0173462398036e-23
"414236","C10orf55","ENSG00000222047","ncRNA",297.378167140508,6.04611717774752,5.93759357248604,0.582744420153921,3.21380894659966e-25,1.36908261125146e-22
"59","ACTA2","ENSG00000107796","protein-coding",6566.73126782235,5.55546576058659,5.45498723008643,0.538230990805755,5.62112603916518e-25,2.3577596974123e-22
"6281","S100A10","ENSG00000197747","protein-coding",1658.40599959387,3.13099247663573,3.07607116728401,0.303905975925918,6.86507822686218e-25,2.8359014057147e-22
"10319","LAMC3","ENSG00000050555","protein-coding",727.035654572806,4.32756568144384,4.24571805930491,0.425443933459679,2.64741970579238e-24,1.07730225162274e-21
"440119","FZD10-AS1","ENSG00000250208","ncRNA",520.970204916074,4.28730210113505,4.20743969876802,0.422435338477155,3.34728589109172e-24,1.34206474315771e-21
"3672","ITGA1","ENSG00000213949","protein-coding",4140.49817912228,5.83348432767585,5.72264605988612,0.575560632673633,3.85157558271981e-24,1.52187473459816e-21
"4920","ROR2","ENSG00000169071","protein-coding",761.591088082259,3.11335988026265,3.05607315287045,0.309011893000927,7.11083394200673e-24,2.76956823706959e-21
"85453","TSPYL5","ENSG00000180543","protein-coding",200.535740446689,-11.0892582729972,-11.0123615971073,1.10380231710155,9.52685615111833e-24,3.65831276202944e-21
"219285","SAMD9L","ENSG00000177409","protein-coding",269.14222174049,6.3171662017807,6.19832036565172,0.630393016953493,1.23253921465704e-23,4.66721515950134e-21
"2662","GDF10","ENSG00000266524","protein-coding",721.830180003226,5.65670000546647,5.54670816385589,0.565023229327005,1.35752520813652e-23,5.07007770885397e-21
"27295","PDLIM3","ENSG00000154553","protein-coding",378.464108529398,3.9609359345485,3.88610665298006,0.395952202491828,1.46998687556453e-23,5.4159084020799e-21
"2150","F2RL1","ENSG00000164251","protein-coding",949.522239181781,4.98618660765132,4.88853056411453,0.499136495466306,1.6922003276648e-23,6.15148663112707e-21
"93349","SP140L","ENSG00000185404","protein-coding",261.707149171977,4.18573985262457,4.10504291372968,0.419092835982246,1.72678443993934e-23,6.19461196980346e-21
"728034","BMS1P23",NA,"pseudo",271.867218499873,3.67573642744894,3.60491039490374,0.368158267880677,1.78880751083736e-23,6.33377246434671e-21
"858","CAV2","ENSG00000105971","protein-coding",214.399422648198,4.11330496133995,4.03488702181406,0.412506672204117,2.03163812505014e-23,7.10135664632912e-21
"84632","AFAP1L2","ENSG00000169129","protein-coding",1448.74328066202,3.02516873864394,2.96815212162071,0.304585910144486,3.01920055834434e-23,1.04196815218608e-20
"1030","CDKN2B","ENSG00000147883","protein-coding",1037.11023332321,4.33239654233942,4.24619428251686,0.436953633944888,3.58246095682487e-23,1.22090269408591e-20
"80830","APOL6","ENSG00000221963","protein-coding",303.48137655571,6.0253432455216,5.90412139283467,0.609579860610146,4.86391145032953e-23,1.63715656520721e-20
"139221","PWWP3B","ENSG00000157502","protein-coding",978.918720648052,3.74769847796829,3.67295513592637,0.380937416054459,7.71579619398159e-23,2.56540813942334e-20
"255130","IGFBP7-AS1","ENSG00000245067","ncRNA",823.293373308764,6.17529544002142,6.04726482241725,0.62982477522098,1.07377226190765e-22,3.52714782513857e-20
"4487","MSX1","ENSG00000163132","protein-coding",600.327472075659,3.63235788844997,3.55951342334733,0.372397293490184,1.77364702619003e-22,5.75675149071962e-20
"1749","DLX5","ENSG00000105880","protein-coding",519.68637035908,3.73358089984394,3.65695420863999,0.385541692468793,3.52685954719579e-22,1.13125057287936e-19
"2335","FN1","ENSG00000115414","protein-coding",207123.165627351,4.37722497811995,4.32212317315363,0.452424509864187,3.84943182100522e-22,1.22035940892891e-19
"8553","BHLHE40","ENSG00000134107","protein-coding",1151.95406079064,5.14968316231145,5.04255025695361,0.532586880023,4.07595481047475e-22,1.27731990750326e-19
"397","ARHGDIB","ENSG00000111348","protein-coding",709.301686314998,4.59817464715759,4.50100665956996,0.480414400246863,1.05603150038499e-21,3.27177759392004e-19
"2635","GBP3","ENSG00000117226","protein-coding",230.469179620875,4.26555845232567,4.17674756420534,0.445825375240241,1.09227324094939e-21,3.34603793721845e-19
"127253","TYW3","ENSG00000162623","protein-coding",74.7497092734745,-6.76396717175175,-6.61340703851456,0.710392676597123,1.70782002780529e-21,5.17355613756484e-19
"3956","LGALS1","ENSG00000100097","protein-coding",6502.80693406594,4.3293769018206,4.24140623837572,0.456437081617599,2.42020908957511e-21,7.25105281518416e-19
"22801","ITGA11","ENSG00000137809","protein-coding",2625.59610513198,4.84778861473073,4.74214252446807,0.512018622027002,2.85272567886223e-21,8.45399053353258e-19
"2296","FOXC1","ENSG00000054598","protein-coding",384.278259106584,3.39797231538044,3.3264058527836,0.359333258193063,3.1895434662003e-21,9.35050678091235e-19
"8291","DYSF","ENSG00000135636","protein-coding",890.463338358262,4.74632846821882,4.64168471224254,0.50428488784731,4.86792942293741e-21,1.41190667858474e-18
"860","RUNX2","ENSG00000124813","protein-coding",1046.39367593527,3.79883493078689,3.71569652462329,0.404556444830515,5.99300142653567e-21,1.71992832519019e-18
"115701","ALPK2","ENSG00000198796","protein-coding",4894.22309787509,3.63562571464541,3.56740385301896,0.388750468218381,8.59402382429452e-21,2.44070276609964e-18
"306","ANXA3","ENSG00000138772","protein-coding",477.940965298029,3.86505539846147,3.77770524110941,0.415643567051253,1.41818098743968e-20,3.98611200428408e-18
"1009","CDH11","ENSG00000140937","protein-coding",6850.33915588241,3.10037971498694,3.03274300827787,0.334131154193867,1.71188410602308e-20,4.76253145577687e-18
"22795","NID2","ENSG00000087303","protein-coding",868.066575901775,2.89248420935853,2.83017731528743,0.312296629240253,2.00681351415266e-20,5.52664279291496e-18
