"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050673","epithelial cell proliferation","59/984","289/15777",0.204152249134948,3.27328255548991,10.0594107102135,3.03312536354222e-16,6.70560237246443e-14,6.70560237246443e-14,"CNMD/PRKCA/ITGA4/BMP5/NRP1/GDF5/RUNX3/JCAD/LAMC1/TBX1/STAT1/B2M/OSR2/TGFB2/HMOX1/SNAI2/CAV1/EGFR/ENG/CDH3/MEF2C/TNMD/F3/CLDN1/SPARC/PPARG/DAB2/LAMB1/MIR21/ACVRL1/CDKN2B/CDH13/SULF1/CAV2/MMP14/ZNF703/FLT1/CXCL12/GATA3/TBX2/ECM1/CCL2/VDR/SIX1/PKHD1/STAT3/BMP4/FAP/HAS2/OSR1/FERMT1/TGFB1/PROX1/KLF9/LOXL2/PAX2/RGCC/APLNR/KDR",59
"GO:0043542","endothelial cell migration","52/984","232/15777",0.224137931034483,3.59372371740959,10.2645570287766,3.08539986463087e-16,6.70560237246443e-14,6.70560237246443e-14,"TGFB1I1/SRPX2/PRKCA/NRP1/MEOX2/JCAD/FGF1/HMOX1/KLF4/MEF2C/ADGRA2/MET/SPARC/RRAS/PPARG/SP100/MIR21/ACVRL1/CD40/RHOJ/ETS1/CDH13/STC1/S100A2/GATA3/EHD4/EDN1/SERPINF1/FSTL1/PLXND1/CYP1B1/ANGPT1/TBXA2R/TMSB4X/FAP/CDH5/TGFB1/CRIPTO/FN1/DCN/PROX1/LOXL2/GREM1/ANXA3/RGCC/FGF18/KDR/FOXC2/ANXA1/ZC3H12A/SMOC2/PLK2",52
"GO:0050865","regulation of cell activation","80/984","480/15777",0.166666666666667,2.67225609756098,9.59595367968478,3.82329815713511e-16,7.93160581325666e-14,7.93160581325665e-14,"SH3KBP1/PRKCA/PDCD1LG2/EMILIN2/BANK1/SHH/KLRC4-KLRK1/CD274/PCK1/CD9/SPINK5/RUNX3/KCNK18/INHBA/B2M/SMAD7/CAV1/VCAM1/IRF1/TNFRSF21/SMARCA2/TLR4/TNFSF4/MEF2C/CYGB/GPR65/JAK3/MIR21/KLRC1/TGFBR2/IGF2/NFATC2/SIRPG/TLR6/MMP14/CUL4B/CD4/LGALS1/RUNX1/GATA3/IL6R/IRGM/PDGFRA/IL16/CCL2/C1QTNF1/IL15/IL4R/ACTA2/KLRC2/KLRC3/IL33/PSMB8/BMP4/KLRK1/ICOSLG/MIR145/AHR/BPI/GPNMB/TGFB1/DDR2/PRDM1/THBD/FN1/PSMB9/IL7R/SOCS1/PEAR1/IL31RA/ZP4/SLAMF8/LGALS3/PDGFA/HLA-E/ANXA1/ZC3H12A/RAC2/JUNB/PRNP",80
"GO:0009611","response to wounding","75/984","436/15777",0.172018348623853,2.75806248601477,9.60104678556956,5.80941472926971e-16,1.15278994888639e-13,1.15278994888639e-13,"TPM1/PRKCA/MMP2/TLN1/LYVE1/GATA4/F2RL2/EMILIN2/TLR3/MYL9/KREMEN1/CD9/HOXB13/NRP1/ITGAV/FGF1/TGFB2/CCN4/F2RL1/HMOX1/CAV1/TFPI/PLAUR/MYL12A/TLR4/ENG/F3/DSP/CLDN1/PPARG/MIR21/ACVRL1/EDNRA/CD40/SPP1/TNC/PROCR/PLAU/S100A10/IL6R/PDGFRA/UBASH3B/C1QTNF1/EDN1/COL3A1/SYTL4/ITGA5/AHNAK/ANXA2/ANGPT1/STAT3/IL33/SERPINE1/TBXA2R/CCR1/CD44/FAP/ITGB1/TNFRSF12A/PLAT/VCL/FERMT1/TGFB1/DDR2/SFTA3/THBD/FN1/MYOF/PEAR1/KDR/PDGFA/FOXC2/ANXA1/F13A1/SMOC2",75
"GO:0050678","regulation of epithelial cell proliferation","54/984","254/15777",0.21259842519685,3.40870462838487,9.98114686845868,9.24244751726411e-16,1.75760543619973e-13,1.75760543619973e-13,"CNMD/PRKCA/ITGA4/BMP5/NRP1/GDF5/RUNX3/JCAD/LAMC1/TBX1/STAT1/B2M/OSR2/TGFB2/HMOX1/SNAI2/CAV1/EGFR/ENG/CDH3/MEF2C/TNMD/F3/CLDN1/SPARC/PPARG/DAB2/LAMB1/MIR21/ACVRL1/CDKN2B/CDH13/SULF1/CAV2/ZNF703/FLT1/CXCL12/GATA3/ECM1/CCL2/VDR/SIX1/PKHD1/STAT3/BMP4/HAS2/OSR1/TGFB1/PROX1/KLF9/PAX2/RGCC/APLNR/KDR",54
"GO:0032963","collagen metabolic process","31/984","91/15777",0.340659340659341,5.46197400160815,11.0092946615394,1.48274174932433e-15,2.70689333756649e-13,2.70689333756649e-13,"MMP2/TGFB3/PLOD1/MMP9/FURIN/INHBA/MMP1/CTSS/PCOLCE/CYGB/ADAMTS14/MIR21/ADAMTS2/MMP14/CREB3L1/RUNX1/IL6R/MMP13/BMP4/FAP/TRAM2/ITGB1/MIR145/CTSK/TGFB1/DDR2/PLOD2/RGCC/COL1A1/RCN3/MMP7",31
"GO:0060537","muscle tissue development","55/984","270/15777",0.203703703703704,3.26609078590786,9.68641703273938,3.49467469740922e-15,5.90729456258358e-13,5.90729456258358e-13,"TPM1/CHRNA1/GATA4/RGS4/BMP5/SHH/MYOCD/ALPK2/STRA6/PDGFRB/TBX1/TGFB2/ANKRD1/SMAD7/CAV1/SEMA3C/SGCD/ENG/MEF2C/DSP/SIK1/MSC/RYR2/EDNRA/MSX1/MSX2/GLI1/POU4F1/TFAP2B/IGF2/TBX3/S100B/CAV2/RUNX1/TBX2/GJA1/PDGFRA/SIX1/EDN1/COL3A1/MYOM1/PAX7/TWIST1/TCF21/BMP4/OSR1/MIR145/RCAN1/TGFB1/PROX1/CARMN/TBX18/HEY2/GREM1/PRICKLE1",55
"GO:0001503","ossification","61/984","324/15777",0.188271604938272,3.01865966576332,9.4688465339156,4.9752964364787e-15,8.10973319146027e-13,8.10973319146027e-13,"ISG15/BMP5/TMEM119/ITGA11/KREMEN1/MGP/GDF5/RUNX3/SIX2/OSR2/CCN4/SNAI2/SMAD7/GDF10/DLX5/CHRDL1/SRGN/IFITM1/TWIST2/HGF/EGFR/MEF2C/PPARG/MIR21/ENPP1/ADAMTS12/MSX2/GLI1/SPP1/TNC/LRRC17/STC1/LRP4/PTHLH/MIR675/IGF2/TNFAIP6/MMP14/CREB3L1/CDH11/RUNX1/SP7/IL6R/ECM1/PENK/FOXC1/VDR/TWIST1/MMP13/CCR1/BMP4/OSR1/DDR2/PANX3/OSTF1/GREM1/PRICKLE1/SGMS2/COL1A1/RUNX2/COL13A1",61
"GO:0009617","response to bacterium","70/984","413/15777",0.169491525423729,2.71754857379082,9.12220387311215,1.22998082529374e-14,1.93573534022091e-12,1.93573534022091e-12,"NQO1/PRKCA/GBP1/FZD5/ISG15/PDCD1LG2/EMILIN2/TLR3/CD274/CXCL8/MMP9/SPINK5/AQP1/CASP1/CASP8/ASS1/HLA-B/B2M/F2RL1/ANKRD1/GBP2/CDH1/NPY/TLR1/CAV1/VCAM1/NLRP1/CASP7/OAS3/TLR4/TNFSF4/MEF2C/CLDN1/FOS/TFEB/MIR21/CXCL6/CD40/NLRP6/TLR6/SSC5D/CXCL5/OAS1/IL6R/ADM/IRGM/IL18R1/PENK/CCL2/EDN1/CARD16/ADAM9/IL33/SERPINE1/TBXA2R/WFDC2/TRAC/COLEC12/AHR/BPI/TICAM1/SHC1/IL7R/GBP3/ANXA3/OAS2/SLAMF8/HLA-E/ZC3H12A/CASP4",70
"GO:0141091","transforming growth factor beta receptor superfamily signaling pathway","60/984","326/15777",0.184049079754601,2.95095765374832,9.18007472079102,2.42754972231397e-14,3.35737482807302e-12,3.35737482807302e-12,"TGFB1I1/TGFB3/LTBP2/GATA4/FOXD1/BMP5/TMEM119/SHH/MYOCD/GDF5/FURIN/HTRA3/INHBA/TGFB2/SMAD7/GDF10/DACT2/DLX5/SOSTDC1/CAV1/CHRDL1/LRRC32/ENG/CDH3/FOS/PPARG/ACVR1C/DAB2/MIR21/ACVRL1/CDKN2B/NKX2-1/COL1A2/TGFBR2/TFAP2B/SULF1/TNFAIP6/GDF6/ZNF703/FST/LDLRAD4/COL3A1/DKK3/FSTL1/ADAM9/STAT3/BMP4/MIR145/CDH5/FERMT1/SFRP4/TGFB1/CRIPTO/FBN1/GDF3/GREM1/RGCC/KDR/RUNX2/PMEPA1",60
