"ensembl","symbol","gene_type","baseMean","l2fc_raw","l2fc_shrunk","padj","l2fc_ref","padj_ref"
"ENSG00000000003","TSPAN6","protein-coding",4645.70621486069,1.10861134869665,0.784215780470051,0.172804644282285,0.645296915068,0.734785881643271
"ENSG00000000005","TNMD","protein-coding",12.7984336553338,3.12752343586463,2.39674257713847,0.027969918606969,4.91599532517,0.0556492528977435
"ENSG00000000419","DPM1","protein-coding",1275.0987898168,0.794352776873829,0.481934142344623,0.418816801640731,0.188541634194,0.95744421070475
"ENSG00000000457","SCYL3","protein-coding",1081.48172735845,0.0941355565276813,0.0682500388408729,0.916364775490952,-0.126653572001,0.963580269162211
"ENSG00000000460","C1orf112","protein-coding",1242.57095617152,0.291741732693336,0.190119011604791,0.761129029640969,-0.226176509075,0.942475307703324
"ENSG00000000971","CFH","protein-coding",757.242831819823,5.00267324590264,4.87539117454877,5.02987680532248e-16,5.12427171039,7.13879729375408e-15
"ENSG00000001036","FUCA2","protein-coding",2062.93604534895,0.437078548832525,0.333227157297755,0.520516390965208,0.00912714523783,0.998373680293809
"ENSG00000001084","GCLC","protein-coding",954.721841037853,0.353690109878797,0.249014991780324,0.667774735519847,-0.0452094138383,0.991303327542
"ENSG00000001167","NFYA","protein-coding",2711.40512936103,0.435287640185261,0.302674891752922,0.598931561212477,0.0596117396436,0.989074805906079
"ENSG00000001460","STPG1","protein-coding",257.63212224638,0.0247128099672968,0.019049279763725,0.978811850401309,-0.437139538536,0.437005065560317
"ENSG00000001461","NIPAL3","protein-coding",363.528174343746,0.519107180481305,0.415816580038977,0.375340835251523,0.167996016935,0.949322259566416
"ENSG00000001497","LAS1L","protein-coding",1971.56526320371,-0.0865738180371398,-0.0646116334804947,0.918494737074279,-0.0132584215433,0.996608710641844
"ENSG00000001561","ENPP4","protein-coding",243.586786233882,-0.0249438629964342,-0.00862043351679876,0.990506452780731,-0.747538392175,0.695943345269712
"ENSG00000001617","SEMA3F","protein-coding",615.385021904955,0.268245519129274,0.192424478457834,0.746786833193283,0.357013183571,0.85911916845964
"ENSG00000001626","CFTR","protein-coding",3.26176958000773,1.28504735250301,0.213507474701119,NA,-0.736460131067,0.76916392057848
"ENSG00000001629","ANKIB1","protein-coding",3462.45150546598,0.59866611191499,0.460048408320474,0.358842377342533,0.280907646477,0.836323083307309
"ENSG00000001630","CYP51A1","protein-coding",7923.73452249369,0.163881838990543,0.118854120149126,0.853926790125279,0.011974172022,0.998373680293809
"ENSG00000001631","KRIT1","protein-coding",2018.61065112258,-0.039960596122925,-0.0351243910513995,0.964091445353095,-0.139513122927,0.963268550761818
"ENSG00000002016","RAD52","protein-coding",1123.52258254191,0.075481986389186,0.0630602092470107,0.907762055224159,-0.0493613240657,0.984905092605579
"ENSG00000002079","MYH16","pseudo",34.6264147004778,-0.49340639714125,-0.266404232253586,0.672055749304854,-1.02388531112,0.816424917150879
"ENSG00000002330","BAD","protein-coding",942.932294483351,-0.0837139312725384,-0.0529379286095632,0.93761721408932,0.1965550604,0.937793851179071
"ENSG00000002549","LAP3","protein-coding",1722.3835687341,0.69361373352253,0.607102551238858,0.0921846339618436,0.633046421048,0.0334067592407777
"ENSG00000002586","CD99","protein-coding",12426.5680238071,1.25358330824148,1.01507588976541,0.0528586691778304,1.6515979324,0.000214004412445551
"ENSG00000002587","HS3ST1","protein-coding",123.972211567985,-1.24825807623347,-0.999665466228402,0.0626669060213188,-1.24100509643,0.0339953515541805
